PartNumber,Brand,Type,DisplayName,UnitCost,Status,Replacement,Notes,Include
OP19-01067-00,LiftMaster,Residential,81600 Contractor 12V DC Chain Drive WiFi,262.92,DISCONTINUED,2220L,Replaced by new Basic Series,N
OP19-01068-00,LiftMaster,Residential,81650 Contractor 1/2HP AC Chain Drive WiFi,253.77,DISCONTINUED,2220L,Replaced by new Basic Series,N
OP19-01099-00,LiftMaster,Residential,81550 WiFi 1/2HP AC Belt Drive,253.52,DISCONTINUED,6580L,Replaced by Plus Series,N
OP19-01069-00,LiftMaster,Residential,83650-267 Premium 1/2HP AC Chain Drive WiFi,279.59,DISCONTINUED,4690L,Replaced by Premium Series,N
OP19-01113-00,LiftMaster,Residential,83550,320.14,DISCONTINUED,6580L,Replaced by Plus Series,N
OP19-01073-00,LiftMaster,Residential,84505R WiFi DC Belt Drive 1500LM LED,340.09,CURRENT,,WiFi DC Belt Drive with LED,Y
OP19-01070-00,LiftMaster,Residential,87504-267 WiFi DC Belt Drive 2000LM LED BBU Camera,489.43,CURRENT,,Premium with camera and battery backup,Y
OP19-01118-00,LiftMaster,Residential,2220L Basic 3/4HP DC Chain Drive Camera WiFi,270.55,CURRENT,,New Basic Series - chain drive with camera,Y
OP19-01119-00,LiftMaster,Residential,2420L Basic 3/4HP DC Chain Drive Camera WiFi BBU,342,CURRENT,,New Basic Series - chain + battery backup,Y
OP19-01120-00,LiftMaster,Residential,6580L Plus 1HP DC Belt Drive,368.18,CURRENT,,Plus Series - belt drive quiet,Y
OP19-01121-00,LiftMaster,Residential,6690L Premium 1-1/4HP DC Belt Drive Camera,522.08,CURRENT,,Premium Series - belt + camera,Y
OP19-01122-00,LiftMaster,Residential,4690L Premium 1-1/4HP DC Belt Drive Camera,527.83,CURRENT,,Premium Series - chain + camera,Y
OP19-01050-00,LiftMaster,Residential,8500C Residential Jackshaft,557.87,DISCONTINUED,98022MC,Replaced by 98022 jackshaft,N
OP19-01002-00,LiftMaster,Residential,8500CMC DC Battery Backup Wall Mount,505.62,DISCONTINUED,98022MC,Replaced by 98022 jackshaft,N
OP19-01082-00,LiftMaster,Residential,LJ8900W Light-Duty Jackshaft DC WiFi,379,CURRENT,,Light-duty commercial/residential jackshaft,Y
OP19-01085-00,LiftMaster,Residential,98022MC MD RJO DC BBU WiFi,748.55,CURRENT,,New jackshaft - replaces 8500 series,Y
OP19-01040-00,LiftMaster,Commercial,MH5011UL 1/2HP 115V LH Medium Duty Hoist,682.5,CURRENT,,Medium-duty hoist left hand,Y
OP19-01041-00,LiftMaster,Commercial,MH5011UR 1/2HP 115V RH Medium Duty Hoist,649,CURRENT,,Medium-duty hoist right hand,Y
OP19-01044-00,LiftMaster,Commercial,H501L5R Hoist RH 1/2HP 115/230V Industrial,879.04,DISCONTINUED,JHDC,H series replaced by JHDC,N
OP19-01071-00,LiftMaster,Commercial,RBH501L5R-MC Hoist 1/2HP 115/230V,1146,CURRENT,,Roller brake hoist 1/2HP,Y
OP19-01048-00,LiftMaster,Commercial,RBH751L5R 3/4HP 115/230V Hoist,1158,CURRENT,,Roller brake hoist 3/4HP single phase,Y
OP19-01078-00,LiftMaster,Commercial,RBH755L5R 3/4HP 575V 3PH Hoist,1259,CURRENT,,Roller brake hoist 3/4HP 575V,Y
OP19-01072-00,LiftMaster,Commercial,RBH101L5R 1HP 115/230V Hoist,1259,CURRENT,,Roller brake hoist 1HP,Y
OP19-01105-00,LiftMaster,Commercial,RBH103L5R-MC 1HP 208/230V/460V 3PH Hoist,1350,CURRENT,,Roller brake hoist 1HP 3PH,Y
OP19-01056-00,LiftMaster,Commercial,CRBH751L5R 3/4HP 115/230V Carwash Hoist,1489.43,CURRENT,,Carwash roller brake hoist 3/4HP,Y
